"ISF Digital Object Identifier"|"Photograph Identification Number"|"Thumbnail Header"|"Photo Descriptive Title"|"Photograph Description"|"Ancient Text Represented "|"ISF Assigned Text Number"|"Text Division"|"Text Sub-Division"|"Text View"|"Text View"|"Text View"|"Text View"|"Text View"|"Text View"|"Text View"|"Text View"|"Text View"|"Text View"|"Type of Item Catalogued"|"Photo Text or Publication Number Note"|"Date of Photograph"|"Photographer"|"Photographer"|"Photographer"|"Photographer"|"Photographer"|"Rights Physical Object"|"Rights Physical Object"|"Rights Physical Object"|"Rights Physical Object"|"Rights Physical Object"|"Is Part Of WSR Project"|"Photo Museum Accession Number "|"Photo Museum Accession Number "|"Photo Museum Accession Number "|"Photo Museum Accession Number "|"Photo Museum Accession Number "|"Photo Museum Accession Number "|"Photo Museum Accession Number "|"Photo Museum Accession Number "|"Photo Museum Accession Number "|"Photo Museum Accession Number "|"Photo Museum Accession Number "|"Photo Museum Accession Number "|"Photo Museum Accession Number "|"Photo Museum Accession Number "|"Photo Museum Accession Number "|"Photo Museum Accession Number "|"Photo Museum Accession Number "|"Photo Museum Accession Number "|"Photo Museum Accession Number "|"Photo Museum Accession Number "|"Photo Museum Accession Number "|"Photo Museum Accession Number "|"Photo Museum Accession Number "|"Photo Museum Accession Number "|"Photo Museum Accession Number "|"Photo Museum Accession Number Note"|"Collaborator"|"Collaborator"|"Collaborator"|"Collaborator"|"Collaborator"|"Photo Dimensions"|"Magnification Code"|"Film Type Code"|"Date of Digital Conversion"|"Digital Object Format"|"Archival File Size"|"Archival File Resolution"|"Compressed Format Extension"|"Compression Ratio"|"Compression Routine"|"Digital Object Type Note"|"Digitization Equipment Specs"|"Rights Digital Object"|"Rights Photograph"|"Script Note"|"Script1"|"Script1 Sub-Level"|"Script2"|"Script2 Sub-Level"|"Script3"|"Script3 Sub-Level"|"Script4"|"Script4 Sub-Level"|"Language Note"|"Language"|"Language"|"Language"|"Language"|"ISF Find Site"|"Relevant Time Line"|"Named Time Period"|"Named Time Period"
"ISF_DO_00649"|"DSS_J5926A_R_I"|"J5926A R ir"|"J5926A Recto, infrared"|"AWS 1a Plate J5926A Recto with 1Q13 Phyl frgs 2, 3, 5, 7*, 8, 9, 11, 15*, 20, 32, 39 + frgs, infrared"|"1Q13"|"ISF_TXT_00294"|||||||||||||"image"|"1Q13 Phyl"|30-11-1984|"Bruce Zuckerman"|"Kenneth Zuckerman"||||"Department of Antiquities, Jordan"|||||"Amman 1988 Project"|"J5926A"|||||||||||||||||||||||||"J5926A"|"Princeton Theological Seminary"|||||"4 x 5 in"|1|3|01-05-1998|"image/tiff"||"1200 ppi"|".sid"|"10:01"|"MrSID"|"Scanned Photograph"|"Scanmate 3000 Drum Scanner PMT"|"West Semitic Research, Rolling Hills Estates, California"|"West Semitic Research, Rolling Hills Estates, California"|"Jewish"|"Jewish"||||||||"Hebrew"|"Hebrew"||||"Qumran Cave 1"|"Syro-Palestinian"|"Hellenistic"|"Roman"
"ISF_DO_00650"|"DSS_J5926A_V_T"|"J5926A V vis"|"J5926A Verso, visible light"|"AWS 1b Plate J5926A Verso with 1Q13 Phyl frgs 2, 3, 5, 7*, 8, 9, 11, 15*, 20, 32, 39 + frgs, visible light"|"1Q13"|"ISF_TXT_00294"|||||||||||||"image"|"1Q13 Phyl"|30-11-1984|"Bruce Zuckerman"|"Kenneth Zuckerman"||||"Department of Antiquities, Jordan"|||||"Amman 1988 Project"|"J5926A"|||||||||||||||||||||||||"J5926A"|"Princeton Theological Seminary"|||||"4 x 5 in"|1|1|01-05-1998|"image/tiff"||"1200 ppi"|".sid"|"18:01"|"MrSID"|"Scanned Photograph"|"Scanmate 3000 Drum Scanner PMT"|"West Semitic Research, Rolling Hills Estates, California"|"West Semitic Research, Rolling Hills Estates, California"|"Jewish"|"Jewish"||||||||"Hebrew"|"Hebrew"||||"Qumran Cave 1"|"Syro-Palestinian"|"Hellenistic"|"Roman"
"ISF_DO_00651"|"DSS_J5926A_V_I"|"J5926A V ir"|"J5926A Verso, infrared"|"AWS 1b Plate J5926A Verso with 1Q13 Phyl frgs 2, 3, 5, 7*, 8, 9, 11, 15*, 20, 32, 39 + frgs, infrared"|"1Q13"|"ISF_TXT_00294"|||||||||||||"image"|"1Q13 Phyl"|30-11-1984|"Bruce Zuckerman"|"Kenneth Zuckerman"||||"Department of Antiquities, Jordan"|||||"Amman 1988 Project"|"J5926A"|||||||||||||||||||||||||"J5926A"|"Princeton Theological Seminary"|||||"4 x 5 in"|1|3|01-05-1998|"image/tiff"||"1200 ppi"|".sid"|"10:01"|"MrSID"|"Scanned Photograph"|"Scanmate 3000 Drum Scanner PMT"|"West Semitic Research, Rolling Hills Estates, California"|"West Semitic Research, Rolling Hills Estates, California"|"Jewish"|"Jewish"||||||||"Hebrew"|"Hebrew"||||"Qumran Cave 1"|"Syro-Palestinian"|"Hellenistic"|"Roman"
"ISF_DO_00652"|"DSS_J5926C_R_T"|"J5926C R vis"|"J5926C Recto, visible light"|"AWS 2a Plate J5926C Recto with 1Q13 Phyl frgs 16, 24, 33, 47 + frgs, visible light"|"1Q13"|"ISF_TXT_00294"|||||||||||||"image"|"1Q13 Phyl"|30-11-1984|"Bruce Zuckerman"|"Kenneth Zuckerman"||||"Department of Antiquities, Jordan"|||||"Amman 1988 Project"|"J5926C"|||||||||||||||||||||||||"J5926C"|"Princeton Theological Seminary"|||||"4 x 5 in"|1|1|01-05-1998|"image/tiff"||"1200 ppi"|".sid"|"18:01"|"MrSID"|"Scanned Photograph"|"Scanmate 3000 Drum Scanner PMT"|"West Semitic Research, Rolling Hills Estates, California"|"West Semitic Research, Rolling Hills Estates, California"|"Jewish"|"Jewish"||||||||"Hebrew"|"Hebrew"||||"Qumran Cave 1"|"Syro-Palestinian"|"Hellenistic"|"Roman"
"ISF_DO_00653"|"DSS_J5926C_R_I"|"J5926C R ir"|"J5926C Recto, infrared"|"AWS 2a Plate J5926C Recto with 1Q13 Phyl frgs 16, 24, 33, 47 + frgs, infrared"|"1Q13"|"ISF_TXT_00294"|||||||||||||"image"|"1Q13 Phyl"|30-11-1984|"Bruce Zuckerman"|"Kenneth Zuckerman"||||"Department of Antiquities, Jordan"|||||"Amman 1988 Project"|"J5926C"|||||||||||||||||||||||||"J5926C"|"Princeton Theological Seminary"|||||"4 x 5 in"|1|3|01-05-1998|"image/tiff"||"1200 ppi"|".sid"|"10:01"|"MrSID"|"Scanned Photograph"|"Scanmate 3000 Drum Scanner PMT"|"West Semitic Research, Rolling Hills Estates, California"|"West Semitic Research, Rolling Hills Estates, California"|"Jewish"|"Jewish"||||||||"Hebrew"|"Hebrew"||||"Qumran Cave 1"|"Syro-Palestinian"|"Hellenistic"|"Roman"
"ISF_DO_00654"|"DSS_J5926C_V_T"|"J5926C V vis"|"J5926C Verso, visible light"|"AWS 2b Plate J5926C Verso with 1Q13 Phyl frgs 16, 24, 33, 47 + frgs, visible light"|"1Q13"|"ISF_TXT_00294"|||||||||||||"image"|"1Q13 Phyl"|30-11-1984|"Bruce Zuckerman"|"Kenneth Zuckerman"||||"Department of Antiquities, Jordan"|||||"Amman 1988 Project"|"J5926C"|||||||||||||||||||||||||"J5926C"|"Princeton Theological Seminary"|||||"4 x 5 in"|1|1|01-05-1998|"image/tiff"||"1200 ppi"|".sid"|"18:01"|"MrSID"|"Scanned Photograph"|"Scanmate 3000 Drum Scanner PMT"|"West Semitic Research, Rolling Hills Estates, California"|"West Semitic Research, Rolling Hills Estates, California"|"Jewish"|"Jewish"||||||||"Hebrew"|"Hebrew"||||"Qumran Cave 1"|"Syro-Palestinian"|"Hellenistic"|"Roman"
"ISF_DO_00655"|"DSS_J5926C_V_I"|"J5926C V ir"|"J5926C Verso, infrared"|"AWS 2b Plate J5926C Verso with 1Q13 Phyl frgs 16, 24, 33, 47 + frgs, infrared"|"1Q13"|"ISF_TXT_00294"|||||||||||||"image"|"1Q13 Phyl"|30-11-1984|"Bruce Zuckerman"|"Kenneth Zuckerman"||||"Department of Antiquities, Jordan"|||||"Amman 1988 Project"|"J5926C"|||||||||||||||||||||||||"J5926C"|"Princeton Theological Seminary"|||||"4 x 5 in"|1|3|01-05-1998|"image/tiff"||"1200 ppi"|".sid"|"10:01"|"MrSID"|"Scanned Photograph"|"Scanmate 3000 Drum Scanner PMT"|"West Semitic Research, Rolling Hills Estates, California"|"West Semitic Research, Rolling Hills Estates, California"|"Jewish"|"Jewish"||||||||"Hebrew"|"Hebrew"||||"Qumran Cave 1"|"Syro-Palestinian"|"Hellenistic"|"Roman"
"ISF_DO_00656"|"DSS_J5926G_R_T"|"J5926G R vis"|"J5926G Recto, visible light"|"AWS 3a Plate J5926G Recto with 1Q13 Phyl frgs 10*, 18*, 25, 30, 40, 43 + frgs, visible light"|"1Q13"|"ISF_TXT_00294"|||||||||||||"image"|"1Q13 Phyl"|30-11-1984|"Bruce Zuckerman"|"Kenneth Zuckerman"||||"Department of Antiquities, Jordan"|||||"Amman 1988 Project"|"J5926G"|||||||||||||||||||||||||"J5926G"|"Princeton Theological Seminary"|||||"4 x 5 in"|1|1|01-05-1998|"image/tiff"||"1200 ppi"|".sid"|"18:01"|"MrSID"|"Scanned Photograph"|"Scanmate 3000 Drum Scanner PMT"|"West Semitic Research, Rolling Hills Estates, California"|"West Semitic Research, Rolling Hills Estates, California"|"Jewish"|"Jewish"||||||||"Hebrew"|"Hebrew"||||"Qumran Cave 1"|"Syro-Palestinian"|"Hellenistic"|"Roman"
"ISF_DO_00657"|"DSS_J5926G_R_I"|"J5926G R ir"|"J5926G Recto, infrared"|"AWS 3a Plate J5926G Recto with 1Q13 Phyl frgs 10*, 18*, 25, 30, 40, 43 + frgs, infrared"|"1Q13"|"ISF_TXT_00294"|||||||||||||"image"|"1Q13 Phyl"|30-11-1984|"Bruce Zuckerman"|"Kenneth Zuckerman"||||"Department of Antiquities, Jordan"|||||"Amman 1988 Project"|"J5926G"|||||||||||||||||||||||||"J5926G"|"Princeton Theological Seminary"|||||"4 x 5 in"|1|3|01-05-1998|"image/tiff"||"1200 ppi"|".sid"|"10:01"|"MrSID"|"Scanned Photograph"|"Scanmate 3000 Drum Scanner PMT"|"West Semitic Research, Rolling Hills Estates, California"|"West Semitic Research, Rolling Hills Estates, California"|"Jewish"|"Jewish"||||||||"Hebrew"|"Hebrew"||||"Qumran Cave 1"|"Syro-Palestinian"|"Hellenistic"|"Roman"
"ISF_DO_00658"|"DSS_J5926G_V_T"|"J5926G V vis"|"J5926G Verso, visible light"|"AWS 3b Plate J5926G Verso with 1Q13 Phyl frgs 10*, 18*, 25, 30, 40, 43 + frgs, visible light"|"1Q13"|"ISF_TXT_00294"|||||||||||||"image"|"1Q13 Phyl"|30-11-1984|"Bruce Zuckerman"|"Kenneth Zuckerman"||||"Department of Antiquities, Jordan"|||||"Amman 1988 Project"|"J5926G"|||||||||||||||||||||||||"J5926G"|"Princeton Theological Seminary"|||||"4 x 5 in"|1|1|01-05-1998|"image/tiff"||"1200 ppi"|".sid"|"18:01"|"MrSID"|"Scanned Photograph"|"Scanmate 3000 Drum Scanner PMT"|"West Semitic Research, Rolling Hills Estates, California"|"West Semitic Research, Rolling Hills Estates, California"|"Jewish"|"Jewish"||||||||"Hebrew"|"Hebrew"||||"Qumran Cave 1"|"Syro-Palestinian"|"Hellenistic"|"Roman"
"ISF_DO_00659"|"DSS_J5926G_V_I"|"J5926G V ir"|"J5926G Verso, infrared"|"AWS 3b Plate J5926G Verso with 1Q13 Phyl frgs 10*, 18*, 25, 30, 40, 43 + frgs, infrared"|"1Q13"|"ISF_TXT_00294"|||||||||||||"image"|"1Q13 Phyl"|30-11-1984|"Bruce Zuckerman"|"Kenneth Zuckerman"||||"Department of Antiquities, Jordan"|||||"Amman 1988 Project"|"J5926G"|||||||||||||||||||||||||"J5926G"|"Princeton Theological Seminary"|||||"4 x 5 in"|1|3|01-05-1998|"image/tiff"||"1200 ppi"|".sid"|"10:01"|"MrSID"|"Scanned Photograph"|"Scanmate 3000 Drum Scanner PMT"|"West Semitic Research, Rolling Hills Estates, California"|"West Semitic Research, Rolling Hills Estates, California"|"Jewish"|"Jewish"||||||||"Hebrew"|"Hebrew"||||"Qumran Cave 1"|"Syro-Palestinian"|"Hellenistic"|"Roman"
"ISF_DO_00660"|"DSS_1Q17_20_R_T"|"1Q17-20 R vis"|"1Q17-20 Recto, visible light"|"AWS 4a Recto with 1Q17 Jub a, 1Q18 Jub b, 1Q19 Noah, 1Q20 apGen ar, visible light"|"1Q17"|"ISF_TXT_00295"|||||||||||||"image"|"1Q17 Jub a"|30-11-1984|"Bruce Zuckerman"|"Kenneth Zuckerman"||||"Department of Antiquities, Jordan"|||||"Amman 1988 Project"|||||||||||||||||||||||||||"Princeton Theological Seminary"|||||"4 x 5 in"|1|1|01-05-1998|"image/tiff"||"1200 ppi"|".sid"|"18:01"|"MrSID"|"Scanned Photograph"|"Scanmate 3000 Drum Scanner PMT"|"West Semitic Research, Rolling Hills Estates, California"|"West Semitic Research, Rolling Hills Estates, California"|"Jewish"|"Jewish"||||||||"Hebrew, Aramaic"|"Hebrew"|"Aramaic"|||"Qumran Cave 1"|"Syro-Palestinian"|"Hellenistic"|"Roman"
"ISF_DO_00660"|"DSS_1Q17_20_R_T"||||"1Q18"|"ISF_TXT_00296"||||||||||||||"1Q18 Jub b"|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"ISF_DO_00660"|"DSS_1Q17_20_R_T"||||"1Q19"|"ISF_TXT_00297"||||||||||||||"1Q19 Noah"|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"ISF_DO_00660"|"DSS_1Q17_20_R_T"||||"1Q20"|"ISF_TXT_00298"||||||||||||||"1Q20 apGen ar"|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"ISF_DO_00661"|"DSS_1Q17_20_R_I"|"1Q17-20 R ir"|"1Q17-20 Recto, infrared"|"AWS 4a Recto with 1Q17 Jub a, 1Q18 Jub b, 1Q19 Noah, 1Q20 apGen ar, infrared"|"1Q17"|"ISF_TXT_00295"|||||||||||||"image"|"1Q17 Jub a"|30-11-1984|"Bruce Zuckerman"|"Kenneth Zuckerman"||||"Department of Antiquities, Jordan"|||||"Amman 1988 Project"|||||||||||||||||||||||||||"Princeton Theological Seminary"|||||"4 x 5 in"|1|3|01-05-1998|"image/tiff"||"1200 ppi"|".sid"|"10:01"|"MrSID"|"Scanned Photograph"|"Scanmate 3000 Drum Scanner PMT"|"West Semitic Research, Rolling Hills Estates, California"|"West Semitic Research, Rolling Hills Estates, California"|"Jewish"|"Jewish"||||||||"Hebrew, Aramaic"|"Hebrew"|"Aramaic"|||"Qumran Cave 1"|"Syro-Palestinian"|"Hellenistic"|"Roman"
"ISF_DO_00661"|"DSS_1Q17_20_R_I"||||"1Q18"|"ISF_TXT_00296"||||||||||||||"1Q18 Jub b"|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"ISF_DO_00661"|"DSS_1Q17_20_R_I"||||"1Q19"|"ISF_TXT_00297"||||||||||||||"1Q19 Noah"|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"ISF_DO_00661"|"DSS_1Q17_20_R_I"||||"1Q20"|"ISF_TXT_00298"||||||||||||||"1Q20 apGen ar"|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"ISF_DO_00662"|"DSS_1Q17_20_V_T"|"1Q17-20 V vis"|"1Q17-20 Verso, visible light"|"AWS 4b Verso with 1Q17 Jub a, 1Q18 Jub b, 1Q19 Noah, 1Q20 apGen ar, visible light"|"1Q17"|"ISF_TXT_00295"|||||||||||||"image"|"1Q17 Jub a"|30-11-1984|"Bruce Zuckerman"|"Kenneth Zuckerman"||||"Department of Antiquities, Jordan"|||||"Amman 1988 Project"|||||||||||||||||||||||||||"Princeton Theological Seminary"|||||"4 x 5 in"|1|1|01-05-1998|"image/tiff"||"1200 ppi"|".sid"|"18:01"|"MrSID"|"Scanned Photograph"|"Scanmate 3000 Drum Scanner PMT"|"West Semitic Research, Rolling Hills Estates, California"|"West Semitic Research, Rolling Hills Estates, California"|"Jewish"|"Jewish"||||||||"Hebrew, Aramaic"|"Hebrew"|"Aramaic"|||"Qumran Cave 1"|"Syro-Palestinian"|"Hellenistic"|"Roman"
"ISF_DO_00662"|"DSS_1Q17_20_V_T"||||"1Q18"|"ISF_TXT_00296"||||||||||||||"1Q18 Jub b"|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"ISF_DO_00662"|"DSS_1Q17_20_V_T"||||"1Q19"|"ISF_TXT_00297"||||||||||||||"1Q19 Noah"|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"ISF_DO_00662"|"DSS_1Q17_20_V_T"||||"1Q20"|"ISF_TXT_00298"||||||||||||||"1Q20 apGen ar"|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"ISF_DO_00663"|"DSS_1Q17_20_V_I"|"1Q17-20 V ir"|"1Q17-20 Verso, infrared"|"AWS 4b Verso with 1Q17 Jub a, 1Q18 Jub b, 1Q19 Noah, 1Q20 apGen ar, infrared"|"1Q17"|"ISF_TXT_00295"|||||||||||||"image"|"1Q17 Jub a"|30-11-1984|"Bruce Zuckerman"|"Kenneth Zuckerman"||||"Department of Antiquities, Jordan"|||||"Amman 1988 Project"|||||||||||||||||||||||||||"Princeton Theological Seminary"|||||"4 x 5 in"|1|3|01-05-1998|"image/tiff"||"1200 ppi"|".sid"|"10:01"|"MrSID"|"Scanned Photograph"|"Scanmate 3000 Drum Scanner PMT"|"West Semitic Research, Rolling Hills Estates, California"|"West Semitic Research, Rolling Hills Estates, California"|"Jewish"|"Jewish"||||||||"Hebrew, Aramaic"|"Hebrew"|"Aramaic"|||"Qumran Cave 1"|"Syro-Palestinian"|"Hellenistic"|"Roman"
"ISF_DO_00663"|"DSS_1Q17_20_V_I"||||"1Q18"|"ISF_TXT_00296"||||||||||||||"1Q18 Jub b"|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"ISF_DO_00663"|"DSS_1Q17_20_V_I"||||"1Q19"|"ISF_TXT_00297"||||||||||||||"1Q19 Noah"|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"ISF_DO_00663"|"DSS_1Q17_20_V_I"||||"1Q20"|"ISF_TXT_00298"||||||||||||||"1Q20 apGen ar"|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"ISF_DO_00664"|"DSS_1Q20_RR_T"|"1Q20 R rt vis"|"1Q20 Recto right, visible light"|"AWS 43 115 1Q20 apGen Recto two fragments on right, visible light"|"1Q20"|"ISF_TXT_00298"|||||||||||||"image"|"1Q20 apGen ar"|31-05-1997|"Bruce Zuckerman"|"Marilyn Lundberg"||||"Department of Antiquities, Jordan"|||||"Amman 2001 Project"||||||||||||||||||||||||||||||||"4 x 5 in"|2|1|01-05-1998|"image/tiff"||"1200 ppi"|".sid"|"18:01"|"MrSID"|"Scanned Photograph"|"Scanmate 3000 Drum Scanner PMT"|"West Semitic Research, Rolling Hills Estates, California"|"West Semitic Research, Rolling Hills Estates, California"|"Jewish"|"Jewish"||||||||"Aramaic"|"Aramaic"||||"Qumran Cave 1"|"Syro-Palestinian"|"Hellenistic"|"Roman"
"ISF_DO_00665"|"DSS_1Q20_RR_I"|"1Q20 R rt ir"|"1Q20 Recto right, infrared"|"AWS 43 115 1Q20 apGen Recto two fragments on right, infrared"|"1Q20"|"ISF_TXT_00298"|||||||||||||"image"|"1Q20 apGen ar"|31-05-1997|"Bruce Zuckerman"|"Marilyn Lundberg"||||"Department of Antiquities, Jordan"|||||"Amman 2001 Project"||||||||||||||||||||||||||||||||"4 x 5 in"|2|3|01-05-1998|"image/tiff"||"1200 ppi"|".sid"|"10:01"|"MrSID"|"Scanned Photograph"|"Scanmate 3000 Drum Scanner PMT"|"West Semitic Research, Rolling Hills Estates, California"|"West Semitic Research, Rolling Hills Estates, California"|"Jewish"|"Jewish"||||||||"Aramaic"|"Aramaic"||||"Qumran Cave 1"|"Syro-Palestinian"|"Hellenistic"|"Roman"
"ISF_DO_00666"|"DSS_1Q20_RL_T"|"1Q20 R lft vis"|"1Q20 Recto left, visible light"|"AWS 44 116 1Q20 apGen Recto six fragments on left, visible light"|"1Q20"|"ISF_TXT_00298"|||||||||||||"image"|"1Q20 apGen ar"|31-05-1997|"Bruce Zuckerman"|"Marilyn Lundberg"||||"Department of Antiquities, Jordan"|||||"Amman 2001 Project"||||||||||||||||||||||||||||||||"4 x 5 in"|2|1|01-05-1998|"image/tiff"||"1200 ppi"|".sid"|"18:01"|"MrSID"|"Scanned Photograph"|"Scanmate 3000 Drum Scanner PMT"|"West Semitic Research, Rolling Hills Estates, California"|"West Semitic Research, Rolling Hills Estates, California"|"Jewish"|"Jewish"||||||||"Aramaic"|"Aramaic"||||"Qumran Cave 1"|"Syro-Palestinian"|"Hellenistic"|"Roman"
"ISF_DO_00667"|"DSS_1Q20_RL_I"|"1Q20 R lft ir"|"1Q20 Recto left, infrared"|"AWS 44 116 1Q20 apGen Recto six fragments on left, infrared"|"1Q20"|"ISF_TXT_00298"|||||||||||||"image"|"1Q20 apGen ar"|31-05-1997|"Bruce Zuckerman"|"Marilyn Lundberg"||||"Department of Antiquities, Jordan"|||||"Amman 2001 Project"||||||||||||||||||||||||||||||||"4 x 5 in"|2|3|01-05-1998|"image/tiff"||"1200 ppi"|".sid"|"10:01"|"MrSID"|"Scanned Photograph"|"Scanmate 3000 Drum Scanner PMT"|"West Semitic Research, Rolling Hills Estates, California"|"West Semitic Research, Rolling Hills Estates, California"|"Jewish"|"Jewish"||||||||"Aramaic"|"Aramaic"||||"Qumran Cave 1"|"Syro-Palestinian"|"Hellenistic"|"Roman"
"ISF_DO_00668"|"DSS_J5928_R_T"|"J5928 R vis"|"J5928 Recto, visible light"|"AWS 5a Plate J5928 Recto with 1Q22 DM frgs 1-9, 14-21, 26-28, 33-36, 37*, 38*, visible light"|"1Q22"|"ISF_TXT_00299"|||||||||||||"image"|"1Q22 DM"|30-11-1984|"Bruce Zuckerman"|"Kenneth Zuckerman"||||"Department of Antiquities, Jordan"|||||"Amman 1988 Project"|"J5928"|||||||||||||||||||||||||"J5928"|"Princeton Theological Seminary"|||||"4 x 5 in"|1|1|01-05-1998|"image/tiff"||"1200 ppi"|".sid"|"18:01"|"MrSID"|"Scanned Photograph"|"Scanmate 3000 Drum Scanner PMT"|"West Semitic Research, Rolling Hills Estates, California"|"West Semitic Research, Rolling Hills Estates, California"|"Jewish"|"Jewish"||||||||"Hebrew"|"Hebrew"||||"Qumran Cave 1"|"Syro-Palestinian"|"Hellenistic"|"Roman"
"ISF_DO_00669"|"DSS_J5928_R_I"|"J5928 R ir"|"J5928 Recto, infrared"|"AWS 5a Plate J5928 Recto with 1Q22 DM frgs 1-9, 14-21, 26-28, 33-36, 37*, 38*, infrared"|"1Q22"|"ISF_TXT_00299"|||||||||||||"image"|"1Q22 DM"|30-11-1984|"Bruce Zuckerman"|"Kenneth Zuckerman"||||"Department of Antiquities, Jordan"|||||"Amman 1988 Project"|"J5928"|||||||||||||||||||||||||"J5928"|"Princeton Theological Seminary"|||||"4 x 5 in"|1|3|01-05-1998|"image/tiff"||"1200 ppi"|".sid"|"10:01"|"MrSID"|"Scanned Photograph"|"Scanmate 3000 Drum Scanner PMT"|"West Semitic Research, Rolling Hills Estates, California"|"West Semitic Research, Rolling Hills Estates, California"|"Jewish"|"Jewish"||||||||"Hebrew"|"Hebrew"||||"Qumran Cave 1"|"Syro-Palestinian"|"Hellenistic"|"Roman"
"ISF_DO_00670"|"DSS_J5928_V_T"|"J5928 V vis"|"J5928 Verso, visible light"|"AWS 5a Plate J5928 Verso with 1Q22 DM frgs 1-9, 14-21, 26-28, 33-36, 37*, 38*, visible light"|"1Q22"|"ISF_TXT_00299"|||||||||||||"image"|"1Q22 DM"|30-11-1984|"Bruce Zuckerman"|"Kenneth Zuckerman"||||"Department of Antiquities, Jordan"|||||"Amman 1988 Project"|"J5928"|||||||||||||||||||||||||"J5928"|"Princeton Theological Seminary"|||||"4 x 5 in"|1|1|01-05-1998|"image/tiff"||"1200 ppi"|".sid"|"18:01"|"MrSID"|"Scanned Photograph"|"Scanmate 3000 Drum Scanner PMT"|"West Semitic Research, Rolling Hills Estates, California"|"West Semitic Research, Rolling Hills Estates, California"|"Jewish"|"Jewish"||||||||"Hebrew"|"Hebrew"||||"Qumran Cave 1"|"Syro-Palestinian"|"Hellenistic"|"Roman"
"ISF_DO_00671"|"DSS_J5928_V_I"|"J5928 V ir"|"J5928 Verso, infrared"|"AWS 5a Plate J5928 Verso with 1Q22 DM frgs 1-9, 14-21, 26-28, 33-36, 37*, 38*, infrared"|"1Q22"|"ISF_TXT_00299"|||||||||||||"image"|"1Q22 DM"|30-11-1984|"Bruce Zuckerman"|"Kenneth Zuckerman"||||"Department of Antiquities, Jordan"|||||"Amman 1988 Project"|"J5928"|||||||||||||||||||||||||"J5928"|"Princeton Theological Seminary"|||||"4 x 5 in"|1|3|01-05-1998|"image/tiff"||"1200 ppi"|".sid"|"10:01"|"MrSID"|"Scanned Photograph"|"Scanmate 3000 Drum Scanner PMT"|"West Semitic Research, Rolling Hills Estates, California"|"West Semitic Research, Rolling Hills Estates, California"|"Jewish"|"Jewish"||||||||"Hebrew"|"Hebrew"||||"Qumran Cave 1"|"Syro-Palestinian"|"Hellenistic"|"Roman"
"ISF_DO_00672"|"DSS_J5928B_R_T"|"J5928B R vis"|"J5928B Recto, visible light"|"AWS 6a Plate J5928 Recto with 1Q22 DM frgs 10-13, 22-25, 41-45, 47-49, 1Q23 EnGiants a ar frgs 1-22, 24-31, visible light"|"1Q22"|"ISF_TXT_00299"|||||||||||||"image"|"1Q22 DM"|30-11-1984|"Bruce Zuckerman"|"Kenneth Zuckerman"||||"Department of Antiquities, Jordan"|||||"Amman 1988 Project"|"J5928"|||||||||||||||||||||||||"J5928"|"Princeton Theological Seminary"|||||"4 x 5 in"|1|1|01-05-1998|"image/tiff"||"1200 ppi"|".sid"|"18:01"|"MrSID"|"Scanned Photograph"|"Scanmate 3000 Drum Scanner PMT"|"West Semitic Research, Rolling Hills Estates, California"|"West Semitic Research, Rolling Hills Estates, California"|"Jewish"|"Jewish"||||||||"Hebrew, Aramaic"|"Hebrew"|"Aramaic"|||"Qumran Cave 1"|"Syro-Palestinian"|"Hellenistic"|"Roman"
"ISF_DO_00672"|"DSS_J5928B_R_T"||||"1Q23"|"ISF_TXT_00300"||||||||||||||"1Q23 EnGiants a ar"|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
