"Alternate Text or Publication Number"|"ISF Assigned Text Number"|"Main Text or Publication Number"|"Text Descriptive Title"|"Alternate Text or Publication Number Prefix"|"Alternate Text or Publication Number Suffix"
"Sachau 72/9"|"ISF_TXT_00082"|"TAD D1.14"|"Praescriptio from Letter Fragment"|"Sachau"|"72/9"
"Sachau Pl. 59/9"|"ISF_TXT_00082"|"TAD D1.14"|"Praescriptio from Letter Fragment"|"Sachau Pl."|"59/9"
"Ungnad 72"|"ISF_TXT_00082"|"TAD D1.14"|"Praescriptio from Letter Fragment"|"Ungnad"|"72"
"Cowley 67/8"|"ISF_TXT_00083"|"TAD D1.18"|"Letter Fragment"|"Cowley"|"67/8"
"Sachau 73/8"|"ISF_TXT_00083"|"TAD D1.18"|"Letter Fragment"|"Sachau"|"73/8"
"Sachau Pl. 60/8"|"ISF_TXT_00083"|"TAD D1.18"|"Letter Fragment"|"Sachau Pl."|"60/8"
"Ungnad 73"|"ISF_TXT_00083"|"TAD D1.18"|"Letter Fragment"|"Ungnad"|"73"
"Cowley 67/2"|"ISF_TXT_00084"|"TAD D1.19"|"Letter Fragment"|"Cowley"|"67/2"
"Sachau 73/2"|"ISF_TXT_00084"|"TAD D1.19"|"Letter Fragment"|"Sachau"|"73/2"
"Sachau Pl. 60/2"|"ISF_TXT_00084"|"TAD D1.19"|"Letter Fragment"|"Sachau Pl."|"60/2"
"Ungnad 73"|"ISF_TXT_00084"|"TAD D1.19"|"Letter Fragment"|"Ungnad"|"73"
"Cowley 68/1"|"ISF_TXT_00085"|"TAD D1.21"|"Letter Fragment"|"Cowley"|"68/1"
"Sachau 74/1 "|"ISF_TXT_00085"|"TAD D1.21"|"Letter Fragment"|"Sachau"|"74/1"
"Sachau Pl. 61/1 "|"ISF_TXT_00085"|"TAD D1.21"|"Letter Fragment"|"Sachau Pl."|"61/1"
"Ungnad 74"|"ISF_TXT_00085"|"TAD D1.21"|"Letter Fragment"|"Ungnad"|"74"
"Cowley 67/7"|"ISF_TXT_00086"|"TAD D1.22"|"Letter Fragment"|"Cowley"|"67/7"
"Sachau 73/7"|"ISF_TXT_00086"|"TAD D1.22"|"Letter Fragment"|"Sachau"|"73/7"
"Sachau Pl. 60/7"|"ISF_TXT_00086"|"TAD D1.22"|"Letter Fragment"|"Sachau Pl."|"60/7"
"Ungnad 73"|"ISF_TXT_00086"|"TAD D1.22"|"Letter Fragment"|"Ungnad"|"73"
"Cowley 68/6,10"|"ISF_TXT_00090"|"TAD D1.26"|"End of Letter Fragment"|"Cowley"|"68/6,10"
"Sachau 74/6,10"|"ISF_TXT_00090"|"TAD D1.26"|"End of Letter Fragment"|"Sachau"|"74/6,10"
"Sachau Pl. 61/6,10"|"ISF_TXT_00090"|"TAD D1.26"|"End of Letter Fragment"|"Sachau Pl."|"61/6,10"
"Ungnad 74"|"ISF_TXT_00090"|"TAD D1.26"|"End of Letter Fragment"|"Ungnad"|"74"
"Cowley 68/3"|"ISF_TXT_00092"|"TAD D1.28"|"End of Letter Fragment "|"Cowley"|"68/3"
"Sachau 74/3"|"ISF_TXT_00092"|"TAD D1.28"|"End of Letter Fragment "|"Sachau"|"74/3"
"Sachau Pl. 61/3"|"ISF_TXT_00092"|"TAD D1.28"|"End of Letter Fragment "|"Sachau Pl."|"61/3"
"Ungnad 74"|"ISF_TXT_00092"|"TAD D1.28"|"End of Letter Fragment "|"Ungnad"|"74"
"Cowley 65/4"|"ISF_TXT_00094"|"TAD D1.3"|"Praescriptio from Letter Fragment"|"Cowley"|"65/4"
"Sachau 71/4"|"ISF_TXT_00094"|"TAD D1.3"|"Praescriptio from Letter Fragment"|"Sachau"|"71/4"
"Sachau Pl. 58/4"|"ISF_TXT_00094"|"TAD D1.3"|"Praescriptio from Letter Fragment"|"Sachau Pl."|"58/4"
"Ungnad 71"|"ISF_TXT_00094"|"TAD D1.3"|"Praescriptio from Letter Fragment"|"Ungnad"|"71"
"Cowley 66/12"|"ISF_TXT_00096"|"TAD D1.31"|"End of Letter Fragment"|"Cowley"|"66/12"
"Cowley 67/14"|"ISF_TXT_00096"|"TAD D1.31"|"End of Letter Fragment"|"Cowley"|"67/14"
"Sachau 72/12"|"ISF_TXT_00096"|"TAD D1.31"|"End of Letter Fragment"|"Sachau"|"72/12"
"Sachau 73/14"|"ISF_TXT_00096"|"TAD D1.31"|"End of Letter Fragment"|"Sachau"|"73/14"
"Sachau Pl. 59/12"|"ISF_TXT_00096"|"TAD D1.31"|"End of Letter Fragment"|"Sachau Pl."|"59/12"
"Sachau Pl. 60/14"|"ISF_TXT_00096"|"TAD D1.31"|"End of Letter Fragment"|"Sachau Pl."|"60/14"
"Ungnad 72"|"ISF_TXT_00096"|"TAD D1.31"|"End of Letter Fragment"|"Ungnad"|"72"
"Cowley 64/17-18,20,22,24-25,27,29"|"ISF_TXT_00097"|"TAD D1.33"|"Fragmentary Report"|"Cowley"|"64/17-18,20,22,24-25,27,29"
"Sachau 70/17-25,27-29 "|"ISF_TXT_00097"|"TAD D1.33"|"Fragmentary Report"|"Sachau"|"70/17-25,27-29 "
"Sachau Pl. 57/17-25,27-29"|"ISF_TXT_00097"|"TAD D1.33"|"Fragmentary Report"|"Sachau Pl."|"57/17-25,27-29"
"Ungnad 70B"|"ISF_TXT_00097"|"TAD D1.33"|"Fragmentary Report"|"Ungnad"|"70B"
"Cowley 68/8"|"ISF_TXT_00100"|"TAD D1.8"|"Praescriptio from Letter Fragment "|"Cowley"|"68/8"
"Sachau 74/8"|"ISF_TXT_00100"|"TAD D1.8"|"Praescriptio from Letter Fragment "|"Sachau"|"74/8"
"Sachau Pl. 61/8"|"ISF_TXT_00100"|"TAD D1.8"|"Praescriptio from Letter Fragment "|"Sachau Pl."|"61/8"
"Ungnad 74"|"ISF_TXT_00100"|"TAD D1.8"|"Praescriptio from Letter Fragment "|"Ungnad"|"74"
"Cowley 68/9"|"ISF_TXT_00101"|"TAD D1.9"|"Praescriptio from Letter Fragment "|"Cowley"|"68/9"
"Sachau 74/9"|"ISF_TXT_00101"|"TAD D1.9"|"Praescriptio from Letter Fragment "|"Sachau"|"74/9"
"Sachau Pl. 61/9"|"ISF_TXT_00101"|"TAD D1.9"|"Praescriptio from Letter Fragment "|"Sachau Pl."|"61/9"
"Ungnad 74"|"ISF_TXT_00101"|"TAD D1.9"|"Praescriptio from Letter Fragment "|"Ungnad"|"74"
"Sachau 82/6"|"ISF_TXT_00102"|"TAD D11.10"|"Name"|"Sachau"|"82/6"
"Sachau Pl. 69/6"|"ISF_TXT_00102"|"TAD D11.10"|"Name"|"Sachau Pl."|"69/6"
"Sacjai 84/11"|"ISF_TXT_00103"|"TAD D11.11"|"Name"|"Sachau"|"84/11"
"Sachau Pl. 71/11"|"ISF_TXT_00103"|"TAD D11.11"|"Name"|"Sachau Pl."|"71/11"
"Sachau 83/3"|"ISF_TXT_00105"|"TAD D11.15"|"Potter's Mark"|"Sachau"|"83/3"
"Sachau Pl. 70/3"|"ISF_TXT_00105"|"TAD D11.15"|"Potter's Mark"|"Sachau Pl."|"70/3"
"Sachau 85/17"|"ISF_TXT_00106"|"TAD D11.16"|"Name"|"Sachau"|"85/17"
"Sachau Pl. 72/17"|"ISF_TXT_00106"|"TAD D11.16"|"Name"|"Sachau Pl."|"72/17"
"Sachau 86/14"|"ISF_TXT_00107"|"TAD D11.17"|"Royal Standard Sign"|"Sachau"|"86/14"
"Sachau Pl. 73/14"|"ISF_TXT_00107"|"TAD D11.17"|"Royal Standard Sign"|"Sachau Pl."|"73/14"
"Sachau 86/12"|"ISF_TXT_00108"|"TAD D11.18"|"Royal Standard Sign"|"Sachau"|"86/12"
"Sachau Pl. 73/12"|"ISF_TXT_00108"|"TAD D11.18"|"Royal Standard Sign"|"Sachau Pl."|"73/12"
"Sachau 83/5"|"ISF_TXT_00109"|"TAD D11.19"|"Notation"|"Sachau"|"83/5"
"Sachau Pl. 70/5"|"ISF_TXT_00109"|"TAD D11.19"|"Notation"|"Sachau Pl."|"70/5"
"Sachau 85/1 "|"ISF_TXT_00110"|"TAD D11.20"|"Fragmentary Notation"|"Sachau"|"85/1"
"Sachau Pl. 72/1 "|"ISF_TXT_00110"|"TAD D11.20"|"Fragmentary Notation"|"Sachau Pl."|"72/1"
"Sachau 84/9"|"ISF_TXT_00111"|"TAD D11.6"|"Three Names"|"Sachau"|"84/9"
"Sachau Pl. 71/9"|"ISF_TXT_00111"|"TAD D11.6"|"Three Names"|"Sachau Pl."|"71/9"
"Sachau 84/6"|"ISF_TXT_00112"|"TAD D11.9"|"Name"|"Sachau"|"84/6"
"Sachau Pl. 71/6"|"ISF_TXT_00112"|"TAD D11.9"|"Name"|"Sachau Pl."|"71/6"
"Sachau 79/2"|"ISF_TXT_00113"|"TAD D12.1"|"List of Names"|"Sachau"|"79/2"
"Sachau Pl. 66/2"|"ISF_TXT_00113"|"TAD D12.1"|"List of Names"|"Sachau Pl."|"66/2"
"Cowley 65/17"|"ISF_TXT_00115"|"TAD D2.10"|"Fragment of Conveyance"|"Cowley"|"65/17"
"Cowley 66/7,13-15"|"ISF_TXT_00115"|"TAD D2.10"|"Fragment of Conveyance"|"Cowley"|"66/7,13-15"
"Sachau 71/17"|"ISF_TXT_00115"|"TAD D2.10"|"Fragment of Conveyance"|"Sachau"|"71/17"
"Sachau 72/7,13-15 "|"ISF_TXT_00115"|"TAD D2.10"|"Fragment of Conveyance"|"Sachau"|"72/7,13-15 "
"Sachau Pl. 58/17"|"ISF_TXT_00115"|"TAD D2.10"|"Fragment of Conveyance"|"Sachau Pl."|"58/17"
"Sachau Pl. 59/7,13-15"|"ISF_TXT_00115"|"TAD D2.10"|"Fragment of Conveyance"|"Sachau Pl."|"59/7,13-15"
"Ungnad 71"|"ISF_TXT_00115"|"TAD D2.10"|"Fragment of Conveyance"|"Ungnad"|"71"
"Cowley 66/4"|"ISF_TXT_00116"|"TAD D2.11"|"Fragment of Loan of Grain"|"Cowley"|"66/4"
"Sachau 72/4"|"ISF_TXT_00116"|"TAD D2.11"|"Fragment of Loan of Grain"|"Sachau"|"72/4"
"Sachau Pl. 59/4"|"ISF_TXT_00116"|"TAD D2.11"|"Fragment of Loan of Grain"|"Sachau Pl."|"59/4"
"Ungnad 72"|"ISF_TXT_00116"|"TAD D2.11"|"Fragment of Loan of Grain"|"Ungnad"|"72"
"Cowley 65/6,10"|"ISF_TXT_00118"|"TAD D2.14"|"Fragment of Conveyance"|"Cowley"|"65/6,10"
"Sachau 71/6,10"|"ISF_TXT_00118"|"TAD D2.14"|"Fragment of Conveyance"|"Sachau"|"71/6,10"
"Sachau Pl. 58/6,10"|"ISF_TXT_00118"|"TAD D2.14"|"Fragment of Conveyance"|"Sachau Pl."|"58/6,10"
"Ungnad 71"|"ISF_TXT_00118"|"TAD D2.14"|"Fragment of Conveyance"|"Ungnad"|"71"
"Cowley 65/1 "|"ISF_TXT_00122"|"TAD D2.18"|"Fragment of Loan or Deed of Obligation"|"Cowley"|"65/1"
"Sachau 71/1 "|"ISF_TXT_00122"|"TAD D2.18"|"Fragment of Loan or Deed of Obligation"|"Sachau"|"71/1"
"Sachau Pl. 58/1 "|"ISF_TXT_00122"|"TAD D2.18"|"Fragment of Loan or Deed of Obligation"|"Sachau Pl."|"58/1"
"Ungnad 71"|"ISF_TXT_00122"|"TAD D2.18"|"Fragment of Loan or Deed of Obligation"|"Ungnad"|"71"
"Cowley 65/15"|"ISF_TXT_00123"|"TAD D2.2"|"Beginning of Contract Fragment"|"Cowley"|"65/15"
"Sachau 71/15"|"ISF_TXT_00123"|"TAD D2.2"|"Beginning of Contract Fragment"|"Sachau"|"71/15"
"Sachau Pl. 58/15"|"ISF_TXT_00123"|"TAD D2.2"|"Beginning of Contract Fragment"|"Sachau Pl."|"58/15"
"Ungnad 71"|"ISF_TXT_00123"|"TAD D2.2"|"Beginning of Contract Fragment"|"Ungnad"|"71"
"Cowley 66/11,16"|"ISF_TXT_00125"|"TAD D2.21"|"Fragment of Warranty Clause"|"Cowley"|"66/11,16"
"Sachau 72/11,16 "|"ISF_TXT_00125"|"TAD D2.21"|"Fragment of Warranty Clause"|"Sachau"|"72/11,16"
"Sachau Pl. 59/11,16"|"ISF_TXT_00125"|"TAD D2.21"|"Fragment of Warranty Clause"|"Sachau Pl."|"59/11,16"
"Ungnad 72"|"ISF_TXT_00125"|"TAD D2.21"|"Fragment of Warranty Clause"|"Ungnad"|"72"
"Cowley 66/8"|"ISF_TXT_00126"|"TAD D2.22"|"End of Four Witness Contract"|"Cowley"|"66/8"
"Sachau 72/8"|"ISF_TXT_00126"|"TAD D2.22"|"End of Four Witness Contract"|"Sachau"|"72/8"
"Sachau Pl. 59/8"|"ISF_TXT_00126"|"TAD D2.22"|"End of Four Witness Contract"|"Sachau Pl."|"59/8"
"Ungnad 72"|"ISF_TXT_00126"|"TAD D2.22"|"End of Four Witness Contract"|"Ungnad"|"72"
"Cowley 65/18"|"ISF_TXT_00127"|"TAD D2.23"|"End of Four Witness Contract"|"Cowley"|"65/18"
"Sachau 71/18 "|"ISF_TXT_00127"|"TAD D2.23"|"End of Four Witness Contract"|"Sachau"|"71/18"
"Sachau Pl. 58/18"|"ISF_TXT_00127"|"TAD D2.23"|"End of Four Witness Contract"|"Sachau Pl."|"58/18"
"Ungnad 71"|"ISF_TXT_00127"|"TAD D2.23"|"End of Four Witness Contract"|"Ungnad"|"71"
"Cowley 65/7-9,11,12"|"ISF_TXT_00129"|"TAD D2.25"|"End of Eight Witness Contract"|"Cowley"|"65/7-9,11,12"
"Sachau 71/7-9,11,12"|"ISF_TXT_00129"|"TAD D2.25"|"End of Eight Witness Contract"|"Sachau"|"71/7-9,11,12"
"Sachau Pl. 58/7-9,11,12"|"ISF_TXT_00129"|"TAD D2.25"|"End of Eight Witness Contract"|"Sachau Pl."|"58/7-9,11,12"
"Ungnad 71"|"ISF_TXT_00129"|"TAD D2.25"|"End of Eight Witness Contract"|"Ungnad"|"71"
"Cowley 65/2"|"ISF_TXT_00130"|"TAD D2.26"|"Fragmentary Endorsement"|"Cowley"|"65/2"
"Sachau 71/2 "|"ISF_TXT_00130"|"TAD D2.26"|"Fragmentary Endorsement"|"Sachau"|"71/2"
"Sachau Pl. 58/2"|"ISF_TXT_00130"|"TAD D2.26"|"Fragmentary Endorsement"|"Sachau Pl."|"58/2"
"Ungnad 71"|"ISF_TXT_00130"|"TAD D2.26"|"Fragmentary Endorsement"|"Ungnad"|"71"
"Cowley 68/12 verso"|"ISF_TXT_00132"|"TAD D2.28"|"Fragmentary Endorsement"|"Cowley"|"68/12 verso"
"Sachau 74/12 "|"ISF_TXT_00132"|"TAD D2.28"|"Fragmentary Endorsement"|"Sachau"|"74/12"
"Sachau Pl. 61/12 verso"|"ISF_TXT_00132"|"TAD D2.28"|"Fragmentary Endorsement"|"Sachau Pl."|"61/12 verso"
"Ungnad 74"|"ISF_TXT_00132"|"TAD D2.28"|"Fragmentary Endorsement"|"Ungnad"|"74"
"Cowley 67/4"|"ISF_TXT_00133"|"TAD D2.3"|"Beginning of Contract Fragment"|"Cowley"|"67/4"
"Sachau 73/4"|"ISF_TXT_00133"|"TAD D2.3"|"Beginning of Contract Fragment"|"Sachau"|"73/4"
"Sachau Pl. 60/4"|"ISF_TXT_00133"|"TAD D2.3"|"Beginning of Contract Fragment"|"Sachau Pl."|"60/4"
"Ungnad 73"|"ISF_TXT_00133"|"TAD D2.3"|"Beginning of Contract Fragment"|"Ungnad"|"73"
"Cowley 65/6"|"ISF_TXT_00134"|"TAD D2.4"|"Beginning of Contract Fragment"|"Cowley"|"65/6"
"Sachau 71/5"|"ISF_TXT_00134"|"TAD D2.4"|"Beginning of Contract Fragment"|"Sachau"|"71/5"
"Sachau Pl. 58/5"|"ISF_TXT_00134"|"TAD D2.4"|"Beginning of Contract Fragment"|"Sachau Pl."|"58/5"
"Ungnad 71"|"ISF_TXT_00134"|"TAD D2.4"|"Beginning of Contract Fragment"|"Ungnad"|"71"
"Cowley 67/1"|"ISF_TXT_00136"|"TAD D2.6"|"Beginning of Contract Fragment"|"Cowley"|"67/1"
"Sachau 73/1 "|"ISF_TXT_00136"|"TAD D2.6"|"Beginning of Contract Fragment"|"Sachau"|"73/1"
"Sachau Pl. 60/1 "|"ISF_TXT_00136"|"TAD D2.6"|"Beginning of Contract Fragment"|"Sachau Pl."|"60/1"
"Ungnad 73"|"ISF_TXT_00136"|"TAD D2.6"|"Beginning of Contract Fragment"|"Ungnad"|"73"
"Cowley 68/2"|"ISF_TXT_00139"|"TAD D2.9"|"Beginning of Contract Fragment"|"Cowley"|"68/2"
"Sachau 74/2"|"ISF_TXT_00139"|"TAD D2.9"|"Beginning of Contract Fragment"|"Sachau"|"74/2"
"Sachau Pl. 61/2"|"ISF_TXT_00139"|"TAD D2.9"|"Beginning of Contract Fragment"|"Sachau Pl."|"61/2"
"Ungnad 74"|"ISF_TXT_00139"|"TAD D2.9"|"Beginning of Contract Fragment"|"Ungnad"|"74"
"Cowley 68/7"|"ISF_TXT_00144"|"TAD D3.13"|"List Fragment"|"Cowley"|"68/7"
"Sachau 74/7"|"ISF_TXT_00144"|"TAD D3.13"|"List Fragment"|"Sachau"|"74/7"
"Sachau Pl. 61/7"|"ISF_TXT_00144"|"TAD D3.13"|"List Fragment"|"Sachau Pl."|"61/7"
"Ungnad 74"|"ISF_TXT_00144"|"TAD D3.13"|"List Fragment"|"Ungnad"|"74"
"Cowley 64/26"|"ISF_TXT_00145"|"TAD D3.14"|"Unclassified Fragment"|"Cowley"|"64/26"
"Sachau 70/26"|"ISF_TXT_00145"|"TAD D3.14"|"Unclassified Fragment"|"Sachau"|"70/26"
"Sachau Pl. 57/26"|"ISF_TXT_00145"|"TAD D3.14"|"Unclassified Fragment"|"Sachau Pl."|"57/26"
"Ungnad 70B"|"ISF_TXT_00145"|"TAD D3.14"|"Unclassified Fragment"|"Ungnad"|"70B"
"Cowley 66/10"|"ISF_TXT_00146"|"TAD D3.15"|"List Fragment"|"Cowley"|"66/10"
"Sachau 72/10"|"ISF_TXT_00146"|"TAD D3.15"|"List Fragment"|"Sachau"|"72/10"
"Sachau Pl. 59/10"|"ISF_TXT_00146"|"TAD D3.15"|"List Fragment"|"Sachau Pl."|"59/10"
"Ungnad 72"|"ISF_TXT_00146"|"TAD D3.15"|"List Fragment"|"Ungnad"|"72"
"Cowley 68/11"|"ISF_TXT_00147"|"TAD D3.19"|"Accounts Fragment"|"Cowley"|"68/11"
"Sachau 74/11"|"ISF_TXT_00147"|"TAD D3.19"|"Accounts Fragment"|"Sachau"|"74/11"
"Sachau Pl. 61/11"|"ISF_TXT_00147"|"TAD D3.19"|"Accounts Fragment"|"Sachau Pl."|"61/11"
"Ungnad 74"|"ISF_TXT_00147"|"TAD D3.19"|"Accounts Fragment"|"Ungnad"|"74"
"Cowley 67/6"|"ISF_TXT_00154"|"TAD D3.3"|"List Fragment"|"Cowley"|"67/6"
"Sachau 73/6"|"ISF_TXT_00154"|"TAD D3.3"|"List Fragment"|"Sachau"|"73/6"
"Sachau Pl. 60/6"|"ISF_TXT_00154"|"TAD D3.3"|"List Fragment"|"Sachau Pl."|"60/6"
"Ungnad 73"|"ISF_TXT_00154"|"TAD D3.3"|"List Fragment"|"Ungnad"|"73"
"Cowley 67/12"|"ISF_TXT_00166"|"TAD D4.14"|"Unclassified Fragment"|"Cowley"|"67/12"
"Sachau 73/12"|"ISF_TXT_00166"|"TAD D4.14"|"Unclassified Fragment"|"Sachau"|"73/12"
"Sachau Pl. 60/12"|"ISF_TXT_00166"|"TAD D4.14"|"Unclassified Fragment"|"Sachau Pl."|"60/12"
"Ungnad 73"|"ISF_TXT_00166"|"TAD D4.14"|"Unclassified Fragment"|"Ungnad"|"73"
"Cowley 67/16"|"ISF_TXT_00170"|"TAD D4.18"|"Unclassified Fragment"|"Cowley"|"67/16"
"Sachau 73/16"|"ISF_TXT_00170"|"TAD D4.18"|"Unclassified Fragment"|"Sachau"|"73/16"
"Sachau Pl. 60/16"|"ISF_TXT_00170"|"TAD D4.18"|"Unclassified Fragment"|"Sachau Pl."|"60/16"
"Ungnad 73"|"ISF_TXT_00170"|"TAD D4.18"|"Unclassified Fragment"|"Ungnad"|"73"
"Cowley 67/9"|"ISF_TXT_00176"|"TAD D4.24"|"Unclassified Fragment"|"Cowley"|"67/9"
"Sachau 73/9"|"ISF_TXT_00176"|"TAD D4.24"|"Unclassified Fragment"|"Sachau"|"73/9"
"Sachau Pl. 60/9"|"ISF_TXT_00176"|"TAD D4.24"|"Unclassified Fragment"|"Sachau Pl."|"60/9"
"Ungnad 73"|"ISF_TXT_00176"|"TAD D4.24"|"Unclassified Fragment"|"Ungnad"|"73"
"Cowley 67/13"|"ISF_TXT_00187"|"TAD D4.4"|"Unclassified Fragment"|"Cowley"|"67/13"
"Sachau 73/13"|"ISF_TXT_00187"|"TAD D4.4"|"Unclassified Fragment"|"Sachau"|"73/13"
"Sachau Pl. 60/13"|"ISF_TXT_00187"|"TAD D4.4"|"Unclassified Fragment"|"Sachau Pl."|"60/13"
"Ungnad 73"|"ISF_TXT_00187"|"TAD D4.4"|"Unclassified Fragment"|"Ungnad"|"73"
"Cowley 65/14"|"ISF_TXT_00188"|"TAD D4.5 "|"Unclassified Fragment"|"Cowley"|"65/14"
"Sachau 71/14"|"ISF_TXT_00188"|"TAD D4.5 "|"Unclassified Fragment"|"Sachau"|"71/14"
"Sachau Pl. 58/14"|"ISF_TXT_00188"|"TAD D4.5 "|"Unclassified Fragment"|"Sachau Pl."|"58/14"
"Ungnad 71"|"ISF_TXT_00188"|"TAD D4.5 "|"Unclassified Fragment"|"Ungnad"|"71"
"Cowley 67/18"|"ISF_TXT_00191"|"TAD D4.8"|"Unclassified Fragment"|"Cowley"|"67/18"
"Sachau 73/18"|"ISF_TXT_00191"|"TAD D4.8"|"Unclassified Fragment"|"Sachau"|"73/18"
"Sachau Pl. 60/18"|"ISF_TXT_00191"|"TAD D4.8"|"Unclassified Fragment"|"Sachau Pl."|"60/18"
"Ungnad 73"|"ISF_TXT_00191"|"TAD D4.8"|"Unclassified Fragment"|"Ungnad"|"73"
"Cowley 67/15"|"ISF_TXT_00192"|"TAD D4.9"|"Unclassified Fragment"|"Cowley"|"67/15"
"Sachau 73/15"|"ISF_TXT_00192"|"TAD D4.9"|"Unclassified Fragment"|"Sachau"|"73/15"
"Sachau Pl. 60/15"|"ISF_TXT_00192"|"TAD D4.9"|"Unclassified Fragment"|"Sachau Pl."|"60/15"
"Ungnad 73"|"ISF_TXT_00192"|"TAD D4.9"|"Unclassified Fragment"|"Ungnad"|"73"
"Cowley 66/3"|"ISF_TXT_00198"|"TAD D5.14"|"Unclassified Fragment"|"Cowley"|"66/3"
"Sachau 72/3"|"ISF_TXT_00198"|"TAD D5.14"|"Unclassified Fragment"|"Sachau"|"72/3"
"Sachau Pl. 59/3"|"ISF_TXT_00198"|"TAD D5.14"|"Unclassified Fragment"|"Sachau Pl."|"59/3"
"Ungnad 72"|"ISF_TXT_00198"|"TAD D5.14"|"Unclassified Fragment"|"Ungnad"|"72"
"Cowley 65/13"|"ISF_TXT_00208"|"TAD D5.25"|"Unclassified Fragment"|"Cowley"|"65/13"
"Sachau 71/13"|"ISF_TXT_00208"|"TAD D5.25"|"Unclassified Fragment"|"Sachau"|"71/13"
"Sachau Pl. 58/13"|"ISF_TXT_00208"|"TAD D5.25"|"Unclassified Fragment"|"Sachau Pl."|"58/13"
"Ungnad 71"|"ISF_TXT_00208"|"TAD D5.25"|"Unclassified Fragment"|"Ungnad"|"71"
"Cowley 67/17"|"ISF_TXT_00210"|"TAD D5.27"|"Unclassified Fragment"|"Cowley"|"67/17"
"Sachau 73/17"|"ISF_TXT_00210"|"TAD D5.27"|"Unclassified Fragment"|"Sachau"|"73/17"
"Sachau Pl. 60/17"|"ISF_TXT_00210"|"TAD D5.27"|"Unclassified Fragment"|"Sachau Pl."|"60/17"
"Ungnad 73"|"ISF_TXT_00210"|"TAD D5.27"|"Unclassified Fragment"|"Ungnad"|"72"
"Cowley 67/10"|"ISF_TXT_00219"|"TAD D5.38"|"Unclassified Fragment"|"Cowley"|"67/10"
"Sachau 73/10"|"ISF_TXT_00219"|"TAD D5.38"|"Unclassified Fragment"|"Sachau"|"73/10"
"Sachau Pl. 60/10"|"ISF_TXT_00219"|"TAD D5.38"|"Unclassified Fragment"|"Sachau Pl."|"60/10"
"Ungnad 73"|"ISF_TXT_00219"|"TAD D5.38"|"Unclassified Fragment"|"Ungnad"|"73"
"Cowley 67/11"|"ISF_TXT_00223"|"TAD D5.5"|"Unclassified Fragment"|"Cowley"|"67/11"
"Sachau 73/11"|"ISF_TXT_00223"|"TAD D5.5"|"Unclassified Fragment"|"Sachau"|"73/11"
"Sachau Pl. 60/11"|"ISF_TXT_00223"|"TAD D5.5"|"Unclassified Fragment"|"Sachau Pl."|"60/11"
"Ungnad 73"|"ISF_TXT_00223"|"TAD D5.5"|"Unclassified Fragment"|"Ungnad"|"73"
"Cowley 69/D-F"|"ISF_TXT_00224"|"TAD D5.54"|"Accounts Fragments"|"Cowley"|"69/D-F"
"Sachau Pl. 51/d-f"|"ISF_TXT_00224"|"TAD D5.54"|"Accounts Fragments"|"Sachau Pl."|"51/d-f"
"Sachau Pap 60/d-f"|"ISF_TXT_00224"|"TAD D5.54"|"Accounts Fragments"|"Sachau Pap"|"60/d-f"
"Ungnad 64"|"ISF_TXT_00224"|"TAD D5.54"|"Accounts Fragments"|"Ungnad"|"64"
"Cowley 65/16"|"ISF_TXT_00225"|"TAD D5.6"|"Unclassified Fragment"|"Cowley"|"65/16"
"Sachau 71/16"|"ISF_TXT_00225"|"TAD D5.6"|"Unclassified Fragment"|"Sachau"|"71/16"
"Sachau Pl. 58/16"|"ISF_TXT_00225"|"TAD D5.6"|"Unclassified Fragment"|"Sachau Pl."|"58/16"
"Ungnad 71"|"ISF_TXT_00225"|"TAD D5.6"|"Unclassified Fragment"|"Ungnad"|"71"
"Sachau 76/5"|"ISF_TXT_00231"|"TAD D7.23"|"Letter re Wool Gypsum"|"Sachau"|"76/5"
"Sachau Pl. 63/5"|"ISF_TXT_00231"|"TAD D7.23"|"Letter re Wool Gypsum"|"Sachau Pl."|"63/5"
"Sachau 77/1"|"ISF_TXT_00232"|"TAD D7.26"|"Fragmentary Letter re Sack etc"|"Sachau"|"77/1"
"Sachau Pl. 64/1"|"ISF_TXT_00232"|"TAD D7.26"|"Fragmentary Letter re Sack etc"|"Sachau Pl."|"64/1"
"Sachau 84/7"|"ISF_TXT_00235"|"TAD D7.31"|"Beginning of Letter"|"Sachau"|"84/7"
"Sachau Pl. 71/7"|"ISF_TXT_00235"|"TAD D7.31"|"Beginning of Letter"|"Sachau Pl."|"71/7"
"Sachau 80/3"|"ISF_TXT_00236"|"TAD D7.32"|"Fragmentary Letter re Meshullach"|"Sachau"|"80/3"
"Sachau Pl. 67/3"|"ISF_TXT_00236"|"TAD D7.32"|"Fragmentary Letter re Meshullach"|"Sachau Pl."|"67/3"
"Sachau 79/1"|"ISF_TXT_00237"|"TAD D7.33"|"Fragmentary Letter re Jar Grits Wool and Castor Oil"|"Sachau"|"79/1"
"Sachau Pl. 66/1"|"ISF_TXT_00237"|"TAD D7.33"|"Fragmentary Letter re Jar Grits Wool and Castor Oil"|"Sachau Pl."|"66/1"
"Sachau 78/2"|"ISF_TXT_00239"|"TAD D7.4"|"Instructions re Nathan and a Net"|"Sachau"|"78/2"
"Sachau Pl. 65/2"|"ISF_TXT_00239"|"TAD D7.4"|"Instructions re Nathan and a Net"|"Sachau Pl."|"65/2"
